Authors	Source Title	Times Cited, WoS Core
"Breuer, R; Mattheisen, M; Frank, J; Krumm, B; Treutlein, J; Kassem, L; Strohmaier, J; Herms, S; Mühleisen, TW; Degenhardt, F; Cichon, S; Nöthen, MM; Karypis, G; Kelsoe, J; Greenwood, T; Nievergelt, C; Shilling, P; Shekhtman, T; Edenberg, H; Craig, D; Szelinger, S; Nurnberger, J; Gershon, E; Alliey-Rodriguez, N; Zandi, P; Goes, F; Schork, N; Smith, E; Koller, D; Zhang, P; Badner, J; Berrettini, W; Bloss, C; Byerley, W; Coryell, W; Foroud, T; Guo, YR; Hipolito, M; Keating, B; Lawson, W; Liu, CY; Mahon, P; McInnis, M; Murray, S; Nwulia, E; Potash, J; Rice, J; Scheftner, W; Zöllner, S; McMahon, FJ; Rietschel, M; Schulze, TG"	INTERNATIONAL JOURNAL OF BIPOLAR DISORDERS	8
"Aguilar, M; Cavasonza, LA; Alpat, B; Ambrosi, G; Arruda, L; Attig, N; Aupetit, S; Azzarello, P; Bachlechner, A; Barao, F; Barrau, A; Barrin, L; Bartoloni, A; Basara, L; Basegmez-du Pree, S; Battarbee, M; Battiston, R; Becker, U; Behlmann, M; Beischer, B; Berdugo, J; Bertucci, B; Bindel, KF; Bindi, V; de Boer, W; Bollweg, K; Bonnivard, V; Borgia, B; Boschini, MJ; Bourquin, M; Bueno, EF; Burger, J; Cadoux, F; Cai, XD; Capell, M; Caroff, S; Casaus, J; Castellini, G; Cervelli, F; Chae, MJ; Chang, YH; Chen, AI; Chen, GM; Chen, HS; Chen, Y; Cheng, L; Chou, HY; Choumilov, E; Choutko, V; Chung, CH; Clark, C; Clavero, R; Coignet, G; Consolandi, C; Contin, A; Corti, C; Creus, W; Crispoltoni, M; Cui, Z; Dadzie, K; Dai, YM; Datta, A; Delgado, C; Della Torre, S; Demirköz, MB; Derome, L; Di Falco, S; Dimiccoli, F; Díaz, C; von Doetinchem, P; Dong, F; Donnini, F; Duranti, M; D'Urso, D; Egorov, A; Eline, A; Eronen, T; Feng, J; Fiandrini, E; Fisher, P; Formato, V; Galaktionov, Y; Gallucci, G; García-López, RJ; Gargiulo, C; Gast, H; Gebauer, I; Gervasi, M; Ghelfi, A; Giovacchini, F; Gómez-Coral, DM; Gong, J; Goy, C; Grabski, V; Grandi, D; Graziani, M; Guo, KH; Haino, S; Han, KC; He, ZH; Heil, M; Hoffman, J; Hsieh, TH; Huang, H; Huang, ZC; Huh, C; Incagli, M; Ionica, M; Jang, WY; Jia, Y; Jinchi, H; Kang, SC; Kanishev, K; Khiali, B; Kim, GN; Kim, KS; Kirn, T; Konak, C; Kounina, O; Kounine, A; Koutsenko, V; Kulemzin, A; La Vacca, G; Laudi, E; Laurenti, G; Lazzizzera, I; Lebedev, A; Lee, HT; Lee, SC; Leluc, C; Li, HS; Li, JQ; Li, Q; Li, TX; Li, ZH; Li, ZY; Light, C; Lim, S; Lin, CH; Lipari, P; Lippert, T; Liu, D; Liu, H; Lordello, VD; Lu, SQ; Lu, YS; Luebelsmeyer, K; Luo, F; Luo, JZ; Luo, X; Lyu, SS; Machate, F; Mañá, C; Marín, J; Martin, T; Martínez, G; Masi, N; Maurin, D; Menchaca-Rocha, A; Meng, Q; Mikuni, VM; Mo, DC; Mott, P; Nelson, T; Ni, JQ; Nikonov, N; Nozzoli, F; Oliva, A; Orcinha, M; Palermo, M; Palmonari, F; Palomares, C; Paniccia, M; Pauluzzi, M; Pensotti, S; Perrina, C; Phan, HD; Picot-Clemente, N; Pilo, F; Pizzolotto, C; Plyaskin, V; Pohl, M; Poireau, V; Popkow, A; Quadrani, L; Qi, XM; Qin, X; Qu, ZY; Räihä, T; Rancoita, PG; Rapin, D; Ricol, JS; Rosier-Lees, S; Rozhkov, A; Rozza, D; Sagdeev, R; Schael, S; Schmidt, SM; von Dratzig, AS; Schwering, G; Seo, ES; Shan, BS; Shi, JY; Siedenburg, T; Son, D; Song, JW; Tacconi, M; Tang, XW; Tang, ZC; Tescaro, D; Ting, SCC; Ting, SM; Tomassetti, N; Torsti, J; Türkoglu, C; Urban, T; Vagelli, V; Valente, E; Valtonen, E; Acosta, MV; Vecchi, M; Velasco, M; Vialle, JP; Wang, LQ; Wang, NH; Wang, QL; Wang, X; Wang, XQ; Wang, ZX; Wei, CC; Weng, ZL; Whitman, K; Wu, H; Wu, X; Xiong, RQ; Xu, W; Yan, Q; Yang, J; Yang, M; Yang, Y; Yi, H; Yu, YJ; Yu, ZQ; Zannoni, M; Zeissler, S; Zhang, C; Zhang, F; Zhang, J; Zhang, JH; Zhang, SW; Zhang, Z; Zheng, ZM; Zhuang, HL; Zhukov, V; Zichichi, A; Zimmermann, N; Zuccon, P"	PHYSICAL REVIEW LETTERS	111
"Pisano, F; Cannas, B; Jakubowski, MW; Niemann, H; Sitjes, AP; Wurden, GA; Wolf, RC; Ali, A; Alonso, A; Baldzuhn, J; Beidler, C; Beurskens, M; Biedermann, C; Bosch, HS; Bozhenkov, S; Brakel, R; Dinklage, A; Feng, Y; Fuchert, G; Geiger, J; Grulke, O; Helander, P; Hirsch, M; Höfel, U; Jakubowski, M; Knauer, J; Kocsis, G; König, R; Kornejew, P; Krämer-Flecken, A; Krychowiak, M; Landreman, M; Langenberg, A; Laqua, HP; Lazerson, S; Maassberg, H; Marsen, S; Marushchenko, M; Moseev, D; Niemann, H; Pablant, N; Pasch, E; Rahbarnia, K; Schlisio, G; Stange, T; Pedersen, TS; Svensson, J; Szepesi, T; Mora, HT; Turkin, Y; Wauters, T; Weir, G; Wenzel, U; Windisch, T; Wurden, G; Zhang, D; Abramovic, I; Äkäslompolo, S; Aleynikov, P; Aleynikova, K; Alzbutas, R; Anda, G; Andreeva, T; Ascasibar, E; Assmann, J; Baek, SG; Banduch, M; Barbui, T; Barlak, M; Baumann, K; Behr, W; Benndorf, A; Bertuch, O; Biel, W; Birus, D; Blackwell, B; Blanco, E; Blatzheim, M; Bluhm, T; Böckenhoff, D; Bolgert, P; Borchardt, M; Borsuk, V; Boscary, J; Böttger, LG; Brand, H; Brandt, C; Bräuer, T; Braune, H; Brezinsek, S; Brunner, KJ; Brünner, B; Burhenn, R; Buttenschön, B; Bykov, V; Calvo, I; Cannas, B; Cappa, A; Carls, A; Carraro, L; Carvalho, B; Castejon, F; Charl, A; Chernyshev, F; Cianciosa, M; Citarella, R; Ciupinski, L; Claps, G; Cole, M; Cole, MJ; Cordella, F; Cseh, G; Czarnecka, A; Czermak, A; Czerski, K; Czerwinski, M; Czymek, G; da Molin, A; da Silva, A; Dammertz, G; de la Pena, A; Degenkolbe, S; Denner, P; Dhard, DP; Dostal, M; Drevlak, M; Drewelow, P; Drews, P; Dudek, A; Dundulis, G; Durodie, F; van Eeten, P; Effenberg, F; Ehrke, G; Endler, M; Ennis, D; Erckmann, E; Esteban, H; Estrada, T; Fahrenkamp, N; Feist, JH; Fellinger, J; Fernandes, H; Fietz, WH; Figacz, W; Fontdecaba, J; Ford, O; Fornal, T; Frerichs, H; Freund, A; Führer, M; Funaba, T; Galkowski, A; Gantenbein, G; Gao, Y; Regaña, JG; Garcia-Munoz, M; Gates, D; Gawlik, G; Geiger, B; Giannella, V; Gierse, N; Gogoleva, A; Goncalves, B; Goriaev, A; Gradic, D; Grahl, M; Green, J; Grosman, A; Grote, H; Gruca, M; Guerard, C; Haiduk, L; Han, X; Harberts, F; Harris, JH; Hartfuss, HJ; Hartmann, D; Hathiramani, D; Hein, B; Heinemann, B; Heitzenroeder, P; Henneberg, S; Hennig, C; Sanchez, JH; Hidalgo, C; Hölbe, H; Hollfeld, KP; Hölting, A; Hoeschen, D; Houry, M; Howard, J; Huang, X; Huber, M; Huber, V; Hunger, H; Ida, K; Ilkei, T; Illy, S; Israeli, B; Ivanov, A; Jablonski, S; Jagielski, J; Jelonnek, J; Jenzsch, H; Junghans, P; Kacmarczyk, J; Kaliatka, T; Kallmeyer, JP; Kamionka, U; Karalevicius, R; Kasahara, H; Kasparek, W; Kenmochi, N; Keunecke, M; Khilchenko, A; Kinna, D; Kleiber, R; Klinger, T; Knaup, M; Kobarg, T; Köchl, F; Kolesnichenko, Y; Könies, A; Köppen, M; Koshurinov, J; Koslowski, R; Köster, F; Koziol, R; Krämer, M; Krampitz, R; Kraszewsk, P; Krawczyk, N; Kremeyer, T; Krings, T; Krom, J; Krzesinski, G; Ksiazek, I; Kubkowska, M; Kühner, G; Kueki-Suonio, T; Kwak, S; Lang, R; Langish, S; Laqua, H; Laube, R; Lechte, C; Lennartz, M; Leonhardt, W; Lewerentz, L; Liang, Y; Linsmeier, C; Liu, S; Lobsien, JF; Loesser, D; Cisquella, JL; Lore, J; Lorenz, A; Losert, M; Lubyako, L; Lücke, A; Lumsdaine, A; Lutsenko, V; Majano-Brown, J; Marchuk, O; Mardenfeld, M; Marek, P; Massidda, S; Masuzaki, S; Maurer, D; McCarthy, K; McNeely, P; Meier, A; Mellein, D; Mendelevitch, B; Mertens, P; Mikkelsen, D; Mishchenko, O; Missal, B; Mittelstaedt, J; Mizuuchi, T; Mollen, A; Moncada, V; Mönnich, T; Morizaki, T; Munk, R; Murakami, S; Musielok, F; Náfrádi, G; Nagel, M; Naujoks, D; Neilson, H; Neubauer, O; Neuner, U; Ngo, T; Nocentini, R; Nührenberg, C; Nührenberg, J; Obermayer, S; Offermanns, G; Ogawa, K; Ongena, J; Oosterbeek, J; Orozco, G; Otte, M; Rodriguez, L; Pan, W; Panadero, N; Alvarez, NP; Panin, A; Papenfuss, D; Paqay, S; Pavone, A; Pawelec, E; Pelka, G; Peng, X; Perseo, V; Peterson, B; Pieper, A; Pilopp, D; Pingel, S; Pisano, F; Plaum, B; Plunk, G; Povilaitis, M; Preinhaelter, J; Proll, J; Puiatti, ME; Sitjes, AP; Purps, F; Rack, M; Récsei, S; Reiman, A; Reiter, D; Remppel, F; Renard, S; Riedl, R; Riemann, J; Rimkevicius, S; Risse, K; Rodatos, A; Röhlinger, H; Romé, M; Rong, P; Roscher, HJ; Roth, B; Rudischhauser, L; Rummel, K; Rummel, T; Runov, A; Rust, N; Ryc, L; Ryosuke, S; Sakamoto, R; Samartsev, A; Sanchez, M; Sano, F; Satake, S; Satheeswaran, G; Schacht, J; Schauer, F; Scherer, T; Schlaich, A; Schlüter, KH; Schmitt, J; Schmitz, H; Schmitz, O; Schmuck, S; Schneider, M; Schneider, W; Scholz, M; Scholz, P; Schrittwieser, R; Schröder, M; Schroeder, T; Schroeder, R; Schumacher, H; Schweer, B; Shanahan, B; Shikhovtsev, I; Sibilia, M; Sinha, P; Sipliae, S; Skodzik, J; Slaby, C; Smith, H; Spiess, W; Spong, D; Spring, A; Stadler, R; Standley, B; Stephey, L; Stoneking, M; Stridde, U; Sulek, Z; Suzuki, Y; Szabo, V; Szabolics, T; Szökefalvi-Nagy, Z; Tamura, N; Terra, A; Terry, J; Thomas, J; Thomsen, H; Thumm, M; von Thun, C; Timmermann, D; Titus, P; Toi, K; Travere, J; Traverso, P; Tretter, J; Tsuchiya, H; Tsujimura, T; Tulipán, S; Turnyanskiy, M; Unterberg, B; Urban, J; Urbonavicius, E; Vakulchyk, I; Valet, S; van Millingen, B; Vela, L; Velasco, JL; Vergote, M; Vervier, M; Vianello, N; Viebke, H; Vilbrandt, R; Vorkörper, A; Wadle, S; Wagner, F; Wang, E; Wang, N; Warmer, F; Wegener, L; Weggen, J; Wei, Y; Wendorf, J; Werner, A; Wiegel, B; Wilde, F; Winkler, E; Winters, V; Wolf, S; Wolowski, J; Wright, A; Xanthopoulos, P; Yamada, H; Yamada, I; Yasuhara, R; Yokoyama, M; Zajac, J; Zarnstorff, M; Zeitler, A; Zhang, H; Zhu, J; Zilker, M; Zimbal, A; Zocco, A; Zoletnik, S; Zuin, M"	REVIEW OF SCIENTIFIC INSTRUMENTS	15
"Mühleisen, TW; Reinbold, CS; Forstner, AJ; Abramova, LI; Alda, M; Babadjanova, G; Bauer, M; Brennan, P; Chuchalin, A; Cruceanu, C; Czerski, PM; Degenhardt, F; Fischer, SB; Fullerton, JM; Gordon, SD; Grigoroiu-Serbanescu, M; Grof, P; Hauser, J; Hautzinger, M; Herms, S; Hoffmann, P; Kammerer-Ciernioch, J; Khusnutdinova, E; Kogevinas, M; Krasnova, V; Lacour, A; Laprise, C; Leber, M; Lissowska, J; Lucae, S; Maaser, A; Maier, W; Martin, NG; Mattheisen, M; Mayoral, F; Mckay, JD; Medland, SE; Mitchell, PB; Moebus, S; Montgomery, GW; Müller-Myhsok, B; Oruc, L; Pantelejeva, G; Pfennig, A; Pojskic, L; Polonikov, A; Reif, A; Rivas, F; Rouleau, GA; Schenk, LM; Schofield, PR; Schwarz, M; Streit, F; Strohmaier, J; Szeszenia-Dabrowska, N; Tiganov, AS; Treutlein, J; Turecki, G; Vedder, H; Witt, SH; Schulze, TG; Rietschel, M; Nöthen, MM; Cichon, S"	JOURNAL OF AFFECTIVE DISORDERS	8
"George, TS; Giles, CD; Menezes-Blackburn, D; Condron, LM; Gama-Rodrigues, AC; Jaisi, D; Lang, F; Neal, AL; Stutter, MI; Almeida, DS; Bol, R; Cabugao, KG; Celi, L; Cotner, JB; Feng, G; Goll, DS; Hallama, M; Krueger, J; Plassard, C; Rosling, A; Darch, T; Fraser, T; Giesler, R; Richardson, AE; Tamburini, F; Shand, CA; Lumsdon, DG; Zhang, H; Blackwell, MSA; Wearing, C; Mezeli, MM; Almås, ÅR; Audette, Y; Bertrand, I; Beyhaut, E; Boitt, G; Bradshaw, N; Brearley, CA; Bruulsema, TW; Ciais, P; Cozzolino, V; Duran, PC; Mora, ML; de Menezes, AB; Dodd, RJ; Dunfield, K; Engl, C; Frazao, JJ; Garland, G; Jiménez, JLG; Graca, J; Granger, SJ; Harrison, AF; Heuck, C; Hou, EQ; Johnes, PJ; Kaiser, K; Kjær, HA; Klumpp, E; Lamb, AL; Macintosh, KA; Mackay, EB; McGrath, J; McIntyre, C; McLaren, T; Mészáros, E; Missong, A; Mooshammer, M; Negrón, CP; Nelson, LA; Pfahler, V; Poblete-Grant, P; Randall, M; Seguel, A; Seth, K; Smith, AC; Smits, MM; Sobarzo, JA; Spohn, M; Tawaraya, K; Tibbett, M; Voroney, P; Wallander, H; Wang, L; Wasaki, J; Haygarth, PM"	PLANT AND SOIL	135
"George, TS; Giles, CD; Menezes-Blackburn, D; Condron, LM; Gama-Rodrigues, AC; Jaisi, D; Lang, F; Neal, AL; Stutter, MI; Almeida, DS; Bol, R; Cabugao, KG; Celi, L; Cotner, JB; Feng, G; Goll, DS; Hallama, M; Krueger, J; Plassard, C; Rosling, A; Darch, T; Fraser, T; Giesler, R; Richardson, AE; Tamburini, F; Shand, CA; Lumsdon, DG; Zhang, H; Blackwell, MSA; Wearing, C; Mezeli, MM; Almås, ÅR; Audette, Y; Bertrand, I; Beyhaut, E; Boitt, G; Bradshaw, N; Brearley, CA; Bruulsema, TW; Ciais, P; Cozzolino, V; Duran, PC; Mora, ML; de Menezes, AB; Dodd, RJ; Dunfield, K; Engl, C; Frazao, JJ; Garland, G; Jiménez, JLG; Graca, J; Granger, SJ; Harrison, AF; Heuck, C; Hou, EQ; Johnes, PJ; Kaiser, K; Kjær, HA; Klumpp, E; Lamb, AL; Macintosh, KA; Mackay, EB; McGrath, J; McIntyre, C; McLaren, T; Mészáros, E; Missong, A; Mooshammer, M; Negrón, CP; Nelson, LA; Pfahler, V; Poblete-Grant, P; Randall, M; Seguel, A; Seth, K; Smith, AC; Smits, MM; Sobarzo, JA; Spohn, M; Tawaraya, K; Tibbett, M; Voroney, P; Wallander, H; Wang, L; Wasaki, J; Haygarth, PM"	PLANT AND SOIL	4
"Franz, D; Acosta, M; Altimir, N; Arriga, N; Arrouays, D; Aubinet, M; Aurela, M; Ayres, E; López-Ballesteros, A; Barbaste, M; Berveiller, D; Biraud, S; Boukir, H; Brown, T; Brümmer, C; Buchmann, N; Burba, G; Carrara, A; Cescatti, A; Ceschia, E; Clement, R; Cremonese, E; Crill, P; Darenova, E; Dengel, S; D'Odorico, P; Filippa, G; Fleck, S; Fratini, G; Fuss, R; Gielen, B; Gogo, S; Grace, J; Graf, A; Grelle, A; Gross, P; Grünwald, T; Haapanala, S; Hehn, M; Heinesch, B; Heiskanen, J; Herbst, M; Herschlein, C; Hörtnagl, L; Hufkens, K; Ibrom, A; Jolivet, C; Joly, L; Jones, M; Kiese, R; Klemedtsson, L; Kljun, N; Klumpp, K; Kolari, P; Kolle, O; Kowalski, A; Kutsch, W; Laurila, T; de Ligne, A; Linder, S; Lindroth, A; Lohila, A; Longdoz, B; Mammarella, I; Manise, T; Jiménez, SM; Matteucci, G; Mauder, M; Meier, P; Merbold, L; Mereu, S; Metzger, S; Migliavacca, M; Molder, M; Montagnani, L; Moureaux, C; Nelson, D; Nemitz, E; Nicolini, G; Nilsson, MB; Op de Beeck, M; Osborne, B; Löfvenius, MO; Pavelka, M; Peichl, M; Peltola, O; Pihlatie, M; Pitacco, A; Pokorny, R; Pumpanen, J; Ratié, C; Rebmann, C; Roland, M; Sabbatini, S; Saby, NPA; Saunders, M; Schmid, HP; Schrumpf, M; Sedlák, P; Ortiz, PS; Siebicke, L; Sigut, L; Silvennoinen, H; Simioni, G; Skiba, U; Sonnentag, O; Soudani, K; Soulé, P; Steinbrecher, R; Tallec, T; Thimonier, A; Tuittila, ES; Tuovinen, JP; Vestin, P; Vincent, G; Vincke, C; Vitale, D; Waldner, P; Weslien, P; Wingate, L; Wohlfahrt, G; Zahniser, M; Vesala, T"	INTERNATIONAL AGROPHYSICS	53
"Li, YB; Shen, CP; Adachi, I; Aihara, H; Al Said, S; Asner, DM; Aushev, T; Ayad, R; Babu, V; Badhrees, I; Bahinipati, S; Ban, Y; Bansal, V; Behera, P; Beleño, C; Bhardwaj, V; Bhuyan, B; Biswal, J; Bobrov, A; Bozek, A; Bracko, M; Browder, TE; Cao, L; Cervenkov, D; Chang, P; Chekelian, V; Chen, A; Cheon, BG; Chilikin, K; Cho, K; Choi, SK; Choi, Y; Choudhury, S; Cinabro, D; Cunliffe, S; Dash, N; Di Carlo, S; Dingfelder, J; Dolezal, Z; Dong, TV; Drásal, Z; Eidelman, S; Epifanov, D; Fast, JE; Fulsom, BG; Garg, R; Gaur, V; Gabyshev, N; Garmash, A; Gelb, M; Giri, A; Goldenzweig, P; Golob, B; Haba, J; Hayasaka, K; Hirose, S; Hou, WS; Iijima, T; Inami, K; Inguglia, G; Ishikawa, A; Itoh, R; Iwasaki, M; Iwasaki, Y; Jacobs, WW; Jaegle, I; Jeon, HB; Jia, S; Jin, Y; Joo, KK; Kaliyar, AB; Kang, KH; Kato, Y; Kawasaki, T; Kim, DY; Kim, JB; Kim, SH; Kinoshita, K; Kodys, P; Korpar, S; Kotchetkov, D; Krizan, P; Kroeger, R; Krokovny, P; Kuhr, T; Kwon, YJ; Lange, JS; Lee, IS; Lee, SC; Li, LK; Li Gioi, L; Libby, J; Liventsev, D; Luo, T; Matvienko, D; Merola, M; Miyata, H; Mizuk, R; Moon, HK; Mori, T; Mussa, R; Nakano, E; Nanut, T; Nath, KJ; Natkaniec, Z; Nayak, M; Nisar, NK; Nishida, S; Nishimura, K; Ogawa, K; Okuno, S; Ono, H; Pakhlov, P; Pakhlova, G; Pal, B; Pardi, S; Park, H; Paul, S; Pedlar, TK; Pestotnik, R; Piilonen, LE; Popov, V; Prencipe, E; Rostomyan, A; Russo, G; Sakai, Y; Salehi, M; Sandilya, S; Santelj, L; Sanuki, T; Savinov, V; Schneider, O; Schnell, G; Schwanda, C; Seino, Y; Senyo, K; Seon, O; Sevior, ME; Shibata, TA; Shiu, JG; Solovieva, E; Staric, M; Strube, JF; Sumihama, M; Sumiyoshi, T; Takizawa, M; Tamponi, U; Tanida, K; Tenchini, F; Uchida, M; Uglov, T; Unno, Y; Uno, S; Usov, Y; Van Hulse, C; Van Tonder, R; Varner, G; Varvell, KE; Vorobyev, V; Waheed, E; Wang, B; Wang, CH; Wang, MZ; Wang, P; Wang, XL; Watanuki, S; Widmann, E; Won, E; Ye, H; Yelton, J; Yin, JH; Yuan, CZ; Yusa, Y; Zhang, ZP; Zhilich, V; Zhukova, V; Zhulanov, V"	EUROPEAN PHYSICAL JOURNAL C	19
"Gelb, M; Bernlochner, FU; Goldenzweig, P; Metzner, F; Adachi, I; Aihara, H; Al Said, S; Asner, DM; Atmacan, H; Aushev, T; Ayad, R; Babu, V; Badhrees, I; Bansal, V; Behera, P; Beleño, C; Bhuyan, B; Biswal, J; Bobrov, A; Bracko, M; Braun, N; Cao, L; Cervenkov, D; Chekelian, V; Chen, A; Cheon, BG; Chilikin, K; Cho, K; Choi, SK; Choi, Y; Choudhury, S; Cinabro, D; Cunliffe, S; Dash, N; Di Carlo, S; Dolezal, Z; Dong, TV; Eidelman, S; Epifanov, D; Fast, JE; Ferber, T; Frey, A; Fulsom, BG; Garg, R; Gaur, V; Gabyshev, N; Garmash, A; Gemmler, J; Giri, A; Greenwald, D; Haba, J; Hara, T; Hayasaka, K; Hayashii, H; Hou, WS; Inami, K; Inguglia, G; Ishikawa, A; Itoh, R; Iwasaki, M; Iwasaki, Y; Jacobs, WW; Jia, S; Jin, Y; Joffe, D; Joo, KK; Kahn, J; Kaliyar, AB; Kawasaki, T; Kichimi, H; Kiesling, C; Kim, DY; Kim, HJ; Kim, SH; Kodys, P; Korpar, S; Kotchetkov, D; Krizan, P; Kroeger, R; Krokovny, P; Kuhr, T; Kulasiri, R; Kuzmin, A; Kwon, YJ; Lange, JS; Lee, IS; Lee, JK; Lee, JY; Lee, SC; Li, YB; Li Gioi, L; Libby, J; Liventsev, D; Lu, PC; Lubej, M; Luo, T; MacNaughton, J; Masuda, M; Merola, M; Miyabayashi, K; Miyata, H; Mizuk, R; Mohanty, GB; Mori, T; Mrvar, M; Mussa, R; Nakao, M; Nath, KJ; Natkaniec, Z; Nayak, M; Niiyama, M; Nisar, NK; Nishida, S; Ogawa, S; Pakhlov, P; Pakhlova, G; Pal, B; Pardi, S; Paul, S; Pedlar, TK; Pestotnik, R; Piilonen, LE; Popov, V; Prencipe, E; Prim, M; Ritter, M; Rostomyan, A; Russo, G; Sahoo, D; Sakai, Y; Salehi, M; Sandilya, S; Santelj, L; Sanuki, T; Savinov, V; Schneider, O; Schnell, G; Schueler, J; Schwanda, C; Seino, Y; Senyo, K; Seon, O; Sevior, ME; Shen, CP; Shibata, TA; Shiu, JG; Shwartz, B; Simon, F; Solovieva, E; Stanic, S; Staric, M; Strube, JF; Sumihama, M; Sumiyoshi, T; Sutcliffe, W; Takizawa, M; Tanida, K; Tao, Y; Tenchini, F; Uchida, M; Uglov, T; Unno, Y; Uno, S; Urquijo, P; Van Tonder, R; Varner, G; Varvell, KE; Wang, B; Wang, CH; Wang, MZ; Wang, P; Wang, XL; Watanabe, M; Watanuki, S; Widmann, E; Won, E; Yamamoto, H; Yang, SB; Ye, H; Yin, JH; Yuan, CZ; Yusa, Y; Zakharov, S; Zhang, ZP; Zhilich, V; Zhukova, V; Zhulanov, V"	PHYSICAL REVIEW D	17
"Jia, S; Wang, XL; Shen, CP; Yuan, CZ; Adachi, I; Aihara, H; Al Said, S; Asner, DM; Atmacan, H; Aulchenko, V; Aushev, T; Ayad, R; Babu, V; Bansal, V; Behera, P; Beleño, C; Berger, M; Bhuyan, B; Bilka, T; Biswal, J; Bobrov, A; Bozek, A; Bracko, M; Browder, TE; Cao, L; Cervenkov, D; Chang, P; Chekelian, V; Chen, A; Cheon, BG; Chilikin, K; Cho, K; Choi, SK; Choi, Y; Choudhury, S; Cinabro, D; Cunliffe, S; Dash, N; Di Carlo, S; Dolezal, Z; Dong, TV; Eidelman, S; Epifanov, D; Fast, JE; Ferber, T; Frey, A; Fulsom, BG; Garg, R; Gaur, V; Gabyshev, N; Garmash, A; Gelb, M; Giri, A; Goldenzweig, P; Greenwald, D; Haba, J; Hayasaka, K; Hayashii, H; Hou, WS; Hsu, CL; Iijima, T; Inami, K; Inguglia, G; Ishikawa, A; Itoh, R; Iwasaki, M; Iwasaki, Y; Jacobs, WW; Jin, Y; Joffe, D; Kahn, J; Kaliyar, AB; Karyan, G; Kawasaki, T; Kichimi, H; Kiesling, C; Kim, DY; Kim, HJ; Kim, JB; Kim, SH; Kinoshita, K; Kodys, P; Korpar, S; Kotchetkov, D; Krizan, P; Kroeger, R; Krokovny, P; Kuhr, T; Kulasiri, R; Kumar, R; Kuzmin, A; Kwon, YJ; Lalwani, K; Lange, JS; Lee, IS; Lee, JY; Lee, SC; Li, CH; Li, LK; Li, YB; Gioi, LL; Libby, J; Liptak, Z; Liventsev, D; Lu, PC; Lubej, M; MacNaughton, J; Masuda, M; Matsuda, T; Matvienko, D; Merola, M; Miyata, H; Mizuk, R; Mori, T; Mussa, R; Nakano, E; Nakao, M; Nath, KJ; Nayak, M; Nisar, NK; Nishida, S; Ogawa, S; Olsen, SL; Ono, H; Onuki, Y; Ostrowicz, W; Pakhlova, G; Pal, B; Pardi, S; Paul, S; Pedlar, TK; Pestotnik, R; Piilonen, LE; Popov, V; Prencipe, E; Ritter, M; Rostomyan, A; Russo, G; Sakai, Y; Salehi, M; Sandilya, S; Santelj, L; Sanuki, T; Savinov, V; Schneider, O; Schnell, G; Schueler, J; Schwanda, C; Seino, Y; Senyo, K; Sevior, ME; Shibata, TA; Shiu, JG; Simon, F; Sokolov, A; Solovieva, E; Staric, M; Stottler, ZS; Strube, JF; Sumiyoshi, T; Sutcliffe, W; Takizawa, M; Tanida, K; Tao, Y; Tenchini, F; Uchida, M; Uehara, S; Uglov, T; Unno, Y; Uno, S; Urquijo, P; Usov, Y; Van Tonder, R; Varner, G; Varvell, KE; Vorobyev, V; Waheed, E; Wang, B; Wang, CH; Wang, MZ; Wang, P; Watanuki, S; Widmann, E; Won, E; Yamamoto, H; Yang, SB; Ye, H; Yin, JH; Yusa, Y; Zhang, ZP; Zhilich, V; Zhukova, V; Zhulanov, V"	PHYSICAL REVIEW D	9
